name,symptome
"Schafgarbe, Gemeine Schafgarbe (Achillea millefolium)","Anwendungsgebiete:Magen-Darm-Beschwerden wie krampfbedingte Magenschmerzen, Blähungen, Völlegefühl, Appetitlosigkeit, krampfbedingte Regelschmerzen, unterstützende Behandlung bei entzündlichen Erkrankungen des Magen-Darm-Traktes."
Erdrauch (Fumaria officinalis),"Anwendungsgebiete: krampfartige Beschwerden im Bereich der Gallenblase und der Gallenwege sowie krampfbedingte Magen-Darm-Beschwerden, Verdauungsbeschwerden wie und infolge von mangelndem Gallenfluss, ."
Frauenmantel (Alchemilla vulgaris),"Anwendungsgebiete: innerlich bei Durchfallerkrankungen unbekannter Ursache und , äußerlich bei kleinen Hautverletzungen und Juckreiz."
"Enzian, Gelber Enzian (Gentiana lutea)","Anwendungsgebiete: Appetitlosigkeit, Verdauungsbeschwerden wie Völlegefühl oder , Unterstützung der Gallenfunktion bei , und ."
Fenchel (Foeniculum vulgare),"Anwendungsgebiete: Krampfbedingte Magen-Darm-Beschwerden wie Blähungen, Erkältungskrankheiten mit Schleimbildung wie Husten und Schnupfen"
"Engelwurz, Angelikawurzel (Angelica archangelica)","Anwendungsgebiete: Verdauungsstörungen und Verdauungsbeschwerden wie Völlegefühl und Blähbauch, Appetitlosigkeit, leichte Magenkrämpfe und Reizmagen; äußere Anwendung des ätherischen Öls bei Nervenschmerzen und rheumatischen Beschwerden wird aufgrund der Risiken abgelehnt."
Faulbaum (Frangula alnus),Anwendungsgebiete: Verstopfung.
Eukalyptus (Eucalyptus globulus),"Anwendungsgebiet: Erkältungen mit Husten oder Schnupfen, Bronchitis."
Eibisch (Althaea officinalis),"Anwendungsgebiete: Linderung von Hustenreiz, insbesondere bei trockenem Husten beziehungsweise Reizhusten, unterstützende Behandlung bei chronischen Atemwegserkrankungen mit Hustenreiz, Infektionen im Mund-Rachen-Raum, leichte Entzündungen der Magenschleimhaut."
Flohsamen (Psyllium),"Anwendungsgebiete: Verstopfung, Durchfall, Regulierung der Verdauung bei ballaststoffarmer Diät, in der Alternativmedizin auch bei sogenannter Darmsanierung"
Efeu (Hedera helix),"Anwendungsgebiete:Husten, Erkältungskrankheiten, entzündliche Erkrankungen der Atemwege"
Cayennepfeffer (Capsicum frutescens),"Anwendungsgebiete: Schulter-Arm-Schmerzen, Rückenschmerzen und andere durch Verspannungen bedingte Schmerzen, Schmerzen bei abnutzungsbedingten Gelenkerkrankungen ( ), , Nervenschmerzen."
Brennnessel (Urtica),"Anwendungsgebiete: Beschwerden beim Wasserlassen oder Wasserhalten infolge einer gutartigen Prostatavergrößerung; Harnwegsinfektionen; traditionelle Verwendung bei Rheuma, Gicht, Gallenbeschwerden und Leberbeschwerden"
"Birke, Birkenblätter (Betula pendula)",Anwendungsgebiete: unterstützende Behandlung bei Infektionen der Harnwege und der Blase sowie Nierensteinen.
Benediktenkraut (Cnicus benedictus),"Anwendungsgebiete: Verdauungsbeschwerden wie Völlegefühl und , Appetitlosigkeit"
Zimt (Cinnamomum verum),"Anwendungsgebiete: Appetitlosigkeit, Verdauungsbeschwerden wie Blähungen und Völlegefühl; keine Zulassung als Medizinprodukt bei Diabetes zur Senkung des Blutzuckerspiegels."
Wermut (Artemisia absinthium),"Anwendungsgebiete: Verdauungsbeschwerden wie und Völlegefühl, Appetitlosigkeit, unterstützende Behandlung bei ."
Zaubernuss (Hamamelis virginiana),"Anwendungsgebiete:  leichte Hautverletzungen, örtlich begrenzte (lokale) Hautentzündungen, Hämorrhoiden im Anfangsstadium (Grad 1 und 2), Krampfaderbeschwerden wie schmerzende und schwere Beine, Entzündungen der Mundschleimhaut."
Weißdorn (Crataegus),"Anwendungsgebiet:  stärkt das Herz, indem es die Durchblutung von Herzmuskel und Herzkranzgefäßen verbessert."
"Wacholder, Wacholderbeeren (Juniperus communis)","Anwendungsgebiete: Durchspülungstherapie bei Infektionen der Harnwege, Vorbeugung von Völlegefühl und , Reizmagen."
"Uzara, Uzarawurzel (Xysmalobium undulatum)","Anwendungsgebiete: Durchfall, Verdauungsbeschwerden, krampfbedingte Regelbeschwerden."
Thymian (Thymus vulgaris),"Anwendungsgebiete: Reizhusten, Husten, Erkältungskrankheiten, entzündliche Erkrankungen der Atemwege, Bronchitis, Akne (äußerliche Anwendung)"
Teufelskralle (Harpagophytum procumbens),"Anwendungsgebiete: unterstützende Behandlung bei Arthrose, und Gelenkschmerzen, Verdauungsbeschwerden und Appetitlosigkeit."
"Weide, Weidenrinde (Salix species)","Anwendungsgebiete: Arthrose, Gelenkschmerzen, , rheumatische Beschwerden, Fieber."
Traubensilberkerze (Cimicifuga racemosa),"Anwendungsgebiete: , prämenstruelles Syndrom und Regelschmerzen."
Spitzwegerich (Plantago lanceolata),"Anwendungsgebiete: Reizhusten (trockener Husten), Halsschmerzen, Entzündungen der Mund- oder Rachenschleimhaut, unterstützende Behandlung bei kleinen Verletzungen wie , aber auch bei (äußere Anwendung)"
Schlüsselblume (Primula veris),"Anwendungsgebiete: bei wie Husten oder , um festsitzenden Schleim aus den Atemwegen zu lösen, , Bronchitis."
Sonnenhut (Echinacea purpurea),"Anwendungsgebiete: Vorbeugung und unterstützende Behandlung von viralen Infekten der Atemwege und , Infektionen der harnableitenden Gefäße, ."
Süßholzwurzel (Glycyrrhiza glabra),"Anwendungsgebiete: mit Husten und , , , Reizmagen."
"Stiefmütterchen, Wildes Stiefmütterchen (Viola tricoloris)","Anwendungsgebiete: Milchschorf, , leichte Formen von Akne, , übermäßige Talgabsonderung (Seborrhoe), (äußerlich und innerlich), und produktiver (innerlich)."
Sennes (Cassia angustifolia),"Anwendungsgebiet: Verstopfung, Darmreinigung zur Operationsvorbereitung, Erleichterung des Stuhlgangs bei rektal-analen Wunden wie Analfissuren und Hämorrhoiden"
Schleifenblume (Iberis amara),"Anwendungsgebiete: Verdauungsbeschwerden wie Völlegefühl oder Blähungen, Appetitlosigkeit, krampfbedingte nervöse Magenschmerzen oder Symptome von Reizdarm."
Rotklee (Trifolium pratense),Anwendungsgebiet: Wechseljahresbeschwerden.
Salbei (Salvia officinalis),"Anwendungsgebiete: äußerlich bei entzündlichen Erkrankungen im Mund-Rachenraum wie Aphthen, Schleimhautentzündungen oder Zahnfleischentzündungen; Heiserkeit, Halsschmerzen, innerlich bei übermäßigem Schwitzen und Verdauungsbeschwerden."
"Weinlaub, Rotes Weinlaub  (Vitis vinifera)",Anwendungsgebiet: Beschwerden bei Venenschwäche im Stadium I und II
